"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 03 16:38:59 GMT 2022","Wed Aug 03 16:38:59 GMT 2022","184","","Booking","","Booking","[bk-3] POST /booking","[bk-3] POST /booking",""
"passed","Wed Aug 03 16:38:59 GMT 2022","Wed Aug 03 16:38:59 GMT 2022","259","","Booking","","Booking","[bk-4] PUT /booking{id}","[bk-4] PUT /booking{id}",""
"passed","Wed Aug 03 16:38:59 GMT 2022","Wed Aug 03 16:39:00 GMT 2022","264","","Booking","","Booking","[bk-5] PATCH /booking{id}","[bk-5] PATCH /booking{id}",""
"passed","Wed Aug 03 16:39:00 GMT 2022","Wed Aug 03 16:39:00 GMT 2022","192","","Booking","","Booking","[bk-7] DELETE /booking/{id}","[bk-7] DELETE /booking/{id}",""
"passed","Wed Aug 03 16:38:59 GMT 2022","Wed Aug 03 16:38:59 GMT 2022","196","","Booking","","Booking","[bk-2] POST /auth","[bk-2] POST /auth",""
"passed","Wed Aug 03 16:39:00 GMT 2022","Wed Aug 03 16:39:00 GMT 2022","188","","Booking","","Booking","[bk-6] GET /booking/{id}","[bk-6] GET /booking/{id}",""
"passed","Wed Aug 03 16:38:58 GMT 2022","Wed Aug 03 16:38:59 GMT 2022","345","","Booking","","Booking","[bk-1] GET /ping","[bk-1] GET /ping",""
