"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 03 16:03:41 GMT 2022","Wed Aug 03 16:03:41 GMT 2022","211","","Booking","","Booking","[bk-6] GET /booking/{id}","[bk-6] GET /booking/{id}",""
"passed","Wed Aug 03 16:03:40 GMT 2022","Wed Aug 03 16:03:40 GMT 2022","283","","Booking","","Booking","[bk-1] GET /ping","[bk-1] GET /ping",""
"passed","Wed Aug 03 16:03:40 GMT 2022","Wed Aug 03 16:03:41 GMT 2022","193","","Booking","","Booking","[bk-3] POST /booking","[bk-3] POST /booking",""
"passed","Wed Aug 03 16:03:41 GMT 2022","Wed Aug 03 16:03:41 GMT 2022","200","","Booking","","Booking","[bk-5] PATCH /booking{id}","[bk-5] PATCH /booking{id}",""
"skipped","Wed Aug 03 16:03:41 GMT 2022","Wed Aug 03 16:03:41 GMT 2022","0","","Booking","","Booking","[bk-7] DELETE /booking/{id}","[bk-7] DELETE /booking/{id}",""
"passed","Wed Aug 03 16:03:40 GMT 2022","Wed Aug 03 16:03:40 GMT 2022","203","","Booking","","Booking","[bk-2] POST /auth","[bk-2] POST /auth",""
"passed","Wed Aug 03 16:03:41 GMT 2022","Wed Aug 03 16:03:41 GMT 2022","203","","Booking","","Booking","[bk-4] PUT /booking{id}","[bk-4] PUT /booking{id}",""
