"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 03 16:04:19 GMT 2022","Wed Aug 03 16:04:19 GMT 2022","256","","Booking","","Booking","[bk-5] PATCH /booking{id}","[bk-5] PATCH /booking{id}",""
"failed","Wed Aug 03 16:04:19 GMT 2022","Wed Aug 03 16:04:20 GMT 2022","291","","Booking","","Booking","[bk-6] GET /booking/{id}","[bk-6] GET /booking/{id}",""
"passed","Wed Aug 03 16:04:19 GMT 2022","Wed Aug 03 16:04:19 GMT 2022","253","","Booking","","Booking","[bk-4] PUT /booking{id}","[bk-4] PUT /booking{id}",""
"skipped","Wed Aug 03 16:04:20 GMT 2022","Wed Aug 03 16:04:20 GMT 2022","0","","Booking","","Booking","[bk-7] DELETE /booking/{id}","[bk-7] DELETE /booking/{id}",""
"passed","Wed Aug 03 16:04:18 GMT 2022","Wed Aug 03 16:04:18 GMT 2022","368","","Booking","","Booking","[bk-1] GET /ping","[bk-1] GET /ping",""
"passed","Wed Aug 03 16:04:19 GMT 2022","Wed Aug 03 16:04:19 GMT 2022","251","","Booking","","Booking","[bk-3] POST /booking","[bk-3] POST /booking",""
"passed","Wed Aug 03 16:04:18 GMT 2022","Wed Aug 03 16:04:19 GMT 2022","249","","Booking","","Booking","[bk-2] POST /auth","[bk-2] POST /auth",""
